Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Burkina Faso,0.066173051,0.069287423,0.067840845,0.0656434,0.065745043,0.062147134,0.068229866,0.075639822,0.078563833,0.08255275,0.089716851,0.083504269,0.081733493,0.085194017,0.084705971,0.083875344,0.098375854,0.115526282,0.130556631,0.127633346,0.125717252,0.13749616,0.158662722,0.179131863,0.162018438,,,,
Bangladesh,0.150558472,0.15095247,0.164360726,0.157744886,0.168261317,0.198107909,0.204248745,0.208587112,0.19601919,0.201584506,0.218311676,0.249496048,0.254435017,0.264649839,0.275239624,0.283948492,0.308980964,0.311100407,0.343107445,0.368245967,0.406145623,0.42481293,0.447035185,0.456320609,0.47365761,,,,
Bulgaria,8.54301079,6.666757565,6.347137362,8.00979638,6.414520789,6.900326395,6.763241038,6.209849583,5.934325293,5.356718076,5.328034342,5.800066474,5.695266947,6.084370085,6.064891808,6.256282044,6.445333272,6.925435282,6.772087541,5.731193724,5.964900206,6.71538056,6.119456526,5.450695963,5.871615869,,,,
Bahrain,25.05885496,23.30000981,20.84167995,27.30708305,26.90951321,26.28778759,26.99557258,29.111344,29.9896904,28.30868397,28.05103737,19.96611831,21.3541623,21.14848827,21.10026101,21.60202842,19.64700684,25.91525689,26.70698996,23.81076404,23.58551891,22.41540397,20.51917507,23.81127184,23.45540632,,,,
"Bahamas, The",7.613851996,6.827997609,6.740479421,6.276955314,6.115078703,6.007313051,5.87540232,4.747123797,5.779433373,5.698862825,5.597984909,5.186327317,5.125170643,4.848282976,5.40458585,5.361787729,5.029160235,5.010498268,4.353269456,4.69907667,4.659400691,5.190829781,5.416022157,7.630261896,6.520069719,,,,
Bosnia and Herzegovina,,,3.555547236,3.089893029,0.820680123,0.895429676,1.130952802,2.246682477,2.836905989,2.772275879,3.67562599,3.558116177,3.804157433,3.851050178,4.14708142,4.303598542,4.664794722,4.691454151,5.368241131,5.541816272,5.741760834,6.5243639,6.174441854,6.187911438,6.384938819,,,,
Belarus,,,8.556931578,7.497670183,6.361224895,5.961662841,5.921699705,5.886700306,5.770180554,5.596280066,5.389745291,5.314049012,5.311929657,5.464145912,5.977157999,6.122471586,6.462446658,6.330314039,6.623163555,6.439684267,6.64269666,6.762517349,6.67999159,6.736652251,6.701957705,,,,
Belize,1.66191243,1.880237328,1.830442972,1.911229519,1.854591432,1.824968714,1.441646698,1.754228721,1.608584806,1.457667331,1.601342418,1.753974508,1.649170281,1.606035075,1.419035529,1.485923185,1.523044393,1.594214531,1.422230406,1.864645405,1.671656371,1.821080012,1.410384615,1.484980403,1.400941234,,,,
Bermuda,8.468108418,9.133172938,7.885348579,9.150381939,8.963503034,8.899591604,8.781918874,8.667884358,8.54427908,8.37692747,8.36199117,8.448227313,8.85974059,8.859865772,9.147364292,9.088334321,10.11617563,11.24603933,9.943759288,7.262934975,9.347122413,6.872359209,7.356862866,7.051814587,8.838314988,,,,
Bolivia,0.838648581,0.856676355,0.929434346,1.070587391,1.15655878,1.292196961,1.263301542,1.378568302,1.357332766,1.264809558,1.314642306,1.004764671,1.189084544,1.24555305,1.225562819,1.319869705,1.602553194,1.290181483,1.361717085,1.415267066,1.512986598,1.580913906,1.810942546,1.794477165,1.90636432,,,,
Brazil,1.40189577,1.446313753,1.430744302,1.471087009,1.518847687,1.594541722,1.729996821,1.797434636,1.839317927,1.85802905,1.876441307,1.90429564,1.850682075,1.769005571,1.835946431,1.865977058,1.847654542,1.910334175,2.018593476,1.893620024,2.144736395,2.224711944,2.358548364,2.505408788,2.612933521,,,,
Barbados,4.11760355,4.60641454,3.724386236,4.224622358,2.824038385,3.116098588,3.18572247,3.363630601,4.234253869,4.474414959,4.375846638,4.481141284,4.492804242,4.62503782,4.702238416,4.896888786,4.942600648,4.89459634,5.789738021,5.752842364,5.237995825,5.403566242,5.18317589,5.094918676,4.467476521,,,,
