Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Burkina Faso,93.15806029,93.25382296,93.29009799,93.47999276,93.60809416,93.14020004,92.15659354,91.39095485,91.01254906,86.85491661,85.4050025,83.6759129,79.34135094,79.07897108,83.52805966,86.54367413,84.61568101,82.42881695,82.93988509,83.59720868,81.45402374,80.5721976,77.17503674,75.42696802,75.24264911,74.16718786,,,
Bangladesh,71.6649713,73.15966732,71.66070373,70.55712302,68.97990719,63.80280917,62.1240766,59.97285612,60.23397129,60.53439575,59.00848427,55.79384213,54.32211192,52.63786238,52.12359365,50.7759641,48.90239769,47.48291615,45.58141547,43.68911699,41.05084179,39.43785524,38.61267863,38.76048127,37.63448349,34.74706901,,,
Bulgaria,1.916848509,2.250552832,2.681073481,2.467834604,2.380942269,3.106707196,3.546340551,3.809662787,5.889736549,6.627507829,7.983176683,7.284526174,8.733318915,9.164047114,9.601410312,9.89133044,10.00376331,8.870486173,9.950698837,11.66017379,14.3675278,13.27702936,15.75145216,18.15701907,16.96662481,17.65007793,,,
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0.449767772,0.415960383,1.688629142,1.704699774,1.836391251,2.168172692,3.706604608,2.146393822,1.915094489,1.65566802,1.426272685,1.18468573,0.843903144,1.088802769,1.210512884,,,
Bosnia and Herzegovina,7.300098695,8.759514761,11.57373703,14.60941503,33.38614494,33.22296632,32.8526732,27.59825743,26.73914622,28.43107732,19.35300602,20.27413108,21.21463539,20.14059236,20.10019147,19.7354797,18.12465907,14.84060655,14.27801053,17.43482699,19.56884689,14.15822839,15.27916627,19.47739656,41.74546278,40.75006023,,,
Belarus,0.817357745,0.898691698,1.047870378,1.251142467,2.070323489,2.527815888,3.101309874,3.393372875,3.640444439,3.975864008,4.982605158,5.52647284,5.762729128,5.597988627,5.655517318,6.153239941,6.488678526,6.622275694,6.487347262,6.778641202,7.016370184,7.378483424,7.249393996,7.009208669,6.634180601,6.770869532,,,
Belize,38.01163269,32.44136066,36.28913576,35.5951813,34.08094643,34.92029263,42.68214743,36.65767999,35.32468636,35.03215104,34.55258952,29.6083937,31.19301381,30.17495297,32.01770938,31.01284057,36.80160928,32.31068833,34.06292214,26.61718863,33.7103437,31.02376044,37.11449396,34.6588617,36.90616801,35.0236296,,,
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.360273122,2.277817029,2.608358993,2.39176852,2.316647053,2.135004665,1.928165793,1.994798608,2.359588007,,,
Bolivia,37.35900159,38.28154192,37.05265001,37.23544482,35.51942717,33.53601083,33.13726748,32.76115986,31.40213607,31.54482026,27.39057224,28.31460635,27.73588747,26.08480999,24.50797649,23.47907528,22.55407157,21.52959584,20.50598261,19.99222073,20.0699703,19.28839817,17.9232292,18.63526119,16.8179625,17.53818183,,,
Brazil,49.86467493,48.93816849,48.70118267,48.19908801,48.35000852,46.13435665,44.53288239,43.72510837,43.86157674,44.09727587,42.79877399,41.47787881,43.02456209,45.30866138,45.38996097,46.34794058,46.90506004,47.41762519,47.26330741,49.11372304,47.00666157,45.46855053,43.6207953,42.44784254,41.84187872,43.7903892,,,
Barbados,18.94217652,18.48372623,16.98044176,15.11609015,15.11254959,16.03426018,16.80691101,16.40233393,12.13985672,12.81090636,13.62129553,12.28920655,11.06937967,9.947794351,9.929891519,9.907093465,9.903067874,9.710463916,8.628636507,9.380154784,9.031334484,4.584401714,4.132185058,3.400369191,3.156616954,2.786358206,,,
Brunei Darussalam,0.671759471,0.432168224,0.205761341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01583074,0.014790792,0.013528143,0.013976191,0.014935036,,,
Bhutan,95.89885217,95.91993814,95.28749205,95.85807466,95.29096375,94.37174975,93.24002063,91.35006424,91.53147094,91.56562294,91.39804294,91.74846899,91.20076088,91.91666116,93.45288447,91.66008274,91.92134946,92.18682668,91.99947653,92.60601762,90.89041792,89.60533207,88.04230639,87.03783621,87.025618,86.90454832,,,
Botswana,47.58463784,48.0827464,44.7082734,45.88542832,48.27315242,47.17403519,44.68880765,43.99899594,37.39760141,39.83467004,36.55527024,35.66621267,34.24983847,34.22901582,32.12284439,30.76437067,29.36829786,27.66677971,27.1607735,28.27674239,30.18609325,29.99679664,29.74852595,29.21884894,28.80052102,28.87982699,,,
Central African Republic,93.49428096,93.75224827,94.1078509,93.81461505,93.18763868,93.04622541,91.66483327,91.85804071,89.01755746,85.40948207,85.07342559,84.86031624,84.86031624,85.53125101,85.64597186,85.65289937,84.79723858,80.85728582,80.58303962,80.57925792,79.81060354,78.76716705,78.02788666,77.07997749,76.90304119,76.56702001,,,
Canada,22.02075369,22.19784052,21.92998463,21.80305888,21.69269302,21.92357632,21.57923752,21.31115038,21.52403671,21.70508086,21.51040106,21.00867869,21.76983695,21.18307873,21.58139664,22.24852785,22.08874861,22.12619174,22.52531404,22.70125736,22.08098938,21.96541861,22.61025847,22.37967975,22.02465154,22.02535921,,,
Central Europe and the Baltics,4.142354367,4.795173966,5.380893478,7.214146459,7.501036318,7.766528621,8.3461269,9.000474729,9.469545978,9.735863096,9.874942172,9.768761606,10.08856305,10.1899921,10.71347728,10.89655368,10.74478605,10.96592772,11.84204946,13.36929212,14.5383552,14.74094767,15.68512666,16.6491391,17.04124349,17.12189336,,,
Switzerland,17.12391004,17.47275048,17.29862548,18.3554219,18.69457381,18.06594965,17.11697875,17.8231175,17.50425118,18.80686907,18.63012414,19.19619247,18.69186012,18.56090731,18.64231442,19.31090915,18.65681068,19.93005169,20.24202047,20.75387289,21.46036384,21.55703291,22.95850279,22.99251967,23.41814723,25.29198368,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,34.02687057,37.27277893,38.61766187,35.77039777,34.81768392,34.16752513,32.2306623,29.9535581,29.74520658,29.05420071,31.36150999,32.14603397,33.06927423,31.61387155,31.43409229,32.26216584,32.90714332,30.46310654,30.82746096,31.52545784,27.04274094,28.79008756,30.30273423,30.17723846,26.71709933,24.88255427,,,
China,34.08361405,33.25847354,32.9312779,31.6777918,31.24948417,29.47211139,30.53717546,30.18348168,29.73990148,30.50604898,29.73071484,28.45581538,27.09820152,23.94657959,20.24947926,18.20381865,17.09461008,15.34937114,14.60199657,13.91196227,12.88431031,11.69579699,11.96856703,11.8381669,12.22382301,12.41335257,,,
Cote d'Ivoire,73.58234924,74.01566246,74.55874065,75.12672124,75.6065175,74.88260302,74.0417289,72.13514374,73.44730424,61.93084644,63.71597425,64.72613509,65.32070192,70.31969584,75.51890533,78.06971387,74.91404094,76.44510009,74.31726247,73.67293672,75.37014337,78.89574715,74.90455645,72.57985296,72.22378455,64.52802565,,,
Cameroon,81.59313508,83.18955405,84.43451203,83.93664356,83.60941782,84.47740331,84.93784566,84.57694782,84.37656838,86.12991655,84.48261803,85.19563992,85.2123084,85.24719298,85.46386407,86.2274527,85.4250299,80.71356365,80.71410907,79.09346479,78.60423417,78.36926213,78.04783832,77.61457827,76.97539079,76.53840041,,,
"Congo, Dem. Rep.",92.04773164,95.13881223,95.87523399,96.11327319,96.60913014,96.89567523,96.96158323,97.05855877,96.84997164,96.99702559,97.93995991,98.34260209,98.2700355,97.9716731,97.88228238,97.42185918,97.33286455,97.17172342,96.96544148,97.01889107,96.82782153,96.24517537,95.52836866,94.01274826,92.87131108,95.81769971,,,
"Congo, Rep.",65.41378681,64.5626788,67.60286909,68.41274896,76.47094224,69.79578171,75.40966863,80.1529571,79.73475522,76.95472981,64.85336209,61.17511056,68.62921109,62.2114204,63.24141778,63.49459467,69.69289262,60.67788048,57.21898458,56.38771547,55.14974864,64.94712294,65.51149304,62.68742746,62.3963358,62.40211902,,,
Colombia,38.25119669,37.00122769,33.22753559,33.20478787,33.97223636,33.69990182,33.77539831,25.80034772,25.93868376,29.13546988,28.02566208,27.22950143,28.78665152,30.68581769,29.16461133,28.72562126,28.98021856,29.66092561,28.95924085,29.55461041,27.93153502,26.78103662,26.64429131,24.47048951,24.44180909,23.56475752,,,
Comoros,49.83857352,50.71266095,50.24473258,49.95204542,59.95919562,59.54349639,60.80219237,59.78107979,49.9613506,49.59409627,48.25214947,47.95253101,48.44577026,42.86829089,41.83582709,44.28195845,43.37189336,50.10937624,50.94786554,49.81909865,46.40799751,47.79395348,48.00765026,44.08142649,46.61559093,45.33305239,,,
Cabo Verde,36.63404152,38.08533877,37.96103481,39.48194536,40.41188863,39.07864583,36.16141185,36.57975968,35.25363963,31.17120826,28.97823798,28.18494785,27.8617878,35.25027922,33.96054854,26.61267706,25.07135427,24.96403964,27.61189804,26.16168689,21.73605211,21.62045107,24.40388395,26.12546743,26.19642302,26.5797159,,,
Costa Rica,45.3807809,44.68947084,35.02787271,36.25917298,35.80152388,34.97356676,36.65421713,33.56391353,28.89051122,29.89049818,32.94784251,32.10903282,32.65263212,33.65982075,39.49662543,42.06059781,42.26487659,42.843379,43.13020527,42.26680959,42.31125269,40.50212372,38.62385459,38.07484182,37.84254113,38.73341388,,,
Caribbean small states,10.2737893,9.039717002,10.34423691,11.66950925,10.7381554,11.08023687,10.96145226,10.84763052,9.644562035,10.02747744,12.38808046,11.61727331,12.31305432,12.00468896,11.66159747,10.31836722,10.15724158,8.46025855,8.737164412,9.611623269,9.096342072,9.670547038,9.408054552,8.681161024,8.548252869,8.825976767,,,
Cuba,42.8902011,47.17417518,51.31063637,46.86792497,45.77703154,41.25462639,41.42907161,36.81811856,34.82274699,33.71908331,34.43082042,34.05064651,34.81082932,33.57159125,33.77568403,26.31836392,21.9680514,18.59356034,18.73183547,16.12421036,13.15763195,16.68021184,17.10235036,16.88796521,18.79844289,19.28132064,,,
